village,HHnum_in_village,hohreligion,castesubcaste,rooftype1,rooftype2,rooftype3,rooftype4,rooftype5,room_no,bed_no,electricity,latrine,ownrent,leader,adopt
1,1,HINDUISM,N/A,0,1,0,0,0,3,4,No,None,OWNED,0,0
1,2,HINDUISM,N/A,0,1,0,0,0,1,1,"Yes, Government",None,OWNED,1,0
1,3,HINDUISM,N/A,0,0,0,0,1,3,4,"Yes, Private",None,OWNED,1,0
1,4,HINDUISM,N/A,0,1,0,0,0,2,6,"Yes, Private",Owned,OWNED,0,0
1,5,HINDUISM,N/A,0,1,0,0,0,3,4,"Yes, Private",None,OWNED,0,0
1,6,HINDUISM,N/A,0,0,1,0,0,2,1,"Yes, Private",Owned,OWNED,0,0
1,7,HINDUISM,N/A,0,0,1,0,0,3,5,"Yes, Government",Owned,OWNED,0,1
1,8,HINDUISM,N/A,0,0,0,1,0,2,1,"Yes, Government",Owned,OWNED,0,1
1,9,HINDUISM,N/A,0,1,0,0,0,2,7,"Yes, Government",None,GIVEN BY GOVERNMENT,0,0
1,10,HINDUISM,N/A,0,0,1,0,0,2,1,"Yes, Private",None,OWNED,0,0
1,12,HINDUISM,N/A,0,1,0,0,0,2,0,"Yes, Government",None,OWNED,0,0
1,13,HINDUISM,N/A,0,1,0,0,0,2,2,"Yes, Government",None,OWNED,0,0
1,14,HINDUISM,N/A,0,0,0,1,0,1,4,"Yes, Government",None,GIVEN BY GOVERNMENT,0,0
1,15,HINDUISM,N/A,0,1,0,0,0,2,0,"Yes, Government",None,OWNED,0,0
1,16,HINDUISM,N/A,0,0,0,1,0,2,0,"Yes, Government",None,OWNED,1,1
1,17,HINDUISM,N/A,0,0,0,1,0,1,0,"Yes, Government",None,OWNED,0,0
1,18,HINDUISM,N/A,0,1,0,0,0,2,3,"Yes, Private",None,OWNED,0,1
1,19,HINDUISM,N/A,0,0,0,1,0,3,0,"Yes, Private",None,OWNED,1,1
1,20,HINDUISM,N/A,0,0,1,0,0,3,2,"Yes, Private",None,OWNED,0,0
1,21,HINDUISM,N/A,0,0,1,0,0,3,2,"Yes, Private",Owned,OWNED,0,0
1,22,HINDUISM,N/A,0,0,1,0,0,2,0,"Yes, Private",None,OWNED,0,0
1,23,HINDUISM,N/A,0,0,1,0,0,2,4,"Yes, Government",None,GIVEN BY GOVERNMENT,0,0
1,24,HINDUISM,N/A,0,0,1,0,0,2,2,"Yes, Government",None,OWNED,0,0
1,25,HINDUISM,N/A,0,0,0,1,0,1,1,"Yes, Private",Owned,OWNED,1,0
1,26,HINDUISM,N/A,0,0,0,1,0,2,0,"Yes, Government",None,OWNED,0,0
1,27,HINDUISM,N/A,0,0,0,1,0,2,3,"Yes, Government",None,GIVEN BY GOVERNMENT,0,0
1,28,HINDUISM,N/A,0,0,0,1,0,1,1,"Yes, Government",None,GIVEN BY GOVERNMENT,0,0
1,29,HINDUISM,N/A,0,0,0,1,0,2,2,"Yes, Government",Owned,GIVEN BY GOVERNMENT,1,0
1,30,HINDUISM,N/A,0,0,0,1,0,3,2,No,Owned,OWNED,0,0
1,31,HINDUISM,N/A,0,0,0,1,0,4,2,"Yes, Government",Owned,GIVEN BY GOVERNMENT,0,0
1,32,HINDUISM,N/A,0,0,0,1,0,2,0,"Yes, Government",None,OWNED,0,0
1,33,HINDUISM,N/A,0,0,0,1,0,2,2,"Yes, Government",None,GIVEN BY GOVERNMENT,0,0
1,34,HINDUISM,N/A,0,0,0,1,0,2,0,"Yes, Government",None,OWNED,0,1
1,35,HINDUISM,N/A,0,0,0,1,0,2,2,"Yes, Government",None,GIVEN BY GOVERNMENT,0,1
1,36,HINDUISM,N/A,0,1,0,0,0,2,2,"Yes, Government",None,GIVEN BY GOVERNMENT,0,0
1,37,HINDUISM,N/A,0,0,0,1,0,2,0,"Yes, Government",None,GIVEN BY GOVERNMENT,1,0
1,38,HINDUISM,N/A,0,0,0,1,0,2,2,No,None,OWNED,0,0
1,39,HINDUISM,N/A,0,0,0,1,0,1,1,"Yes, Government",None,OWNED,0,0
1,40,HINDUISM,N/A,0,0,0,1,0,2,2,"Yes, Private",None,OWNED,0,0
1,41,HINDUISM,N/A,0,0,0,1,0,3,2,"Yes, Government",None,GIVEN BY GOVERNMENT,0,1
1,42,ISLAM,N/A,0,0,0,1,0,2,0,"Yes, Government",None,GIVEN BY GOVERNMENT,1,1
1,43,HINDUISM,N/A,0,0,0,1,0,2,0,"Yes, Private",None,OWNED,1,1
1,44,HINDUISM,N/A,0,0,0,1,0,2,2,"Yes, Private",None,OWNED,0,0
1,45,HINDUISM,N/A,0,0,0,1,0,3,2,No,Owned,GIVEN BY GOVERNMENT,1,1
1,46,HINDUISM,N/A,0,0,0,1,0,2,2,"Yes, Private",None,OWNED,0,0
1,47,HINDUISM,N/A,0,0,0,1,0,2,2,"Yes, Government",None,OWNED,0,0
1,48,HINDUISM,N/A,0,1,0,0,0,2,2,"Yes, Private",None,GIVEN BY GOVERNMENT,0,1
1,49,HINDUISM,N/A,0,0,0,1,0,2,2,"Yes, Government",None,GIVEN BY GOVERNMENT,0,1
1,50,HINDUISM,N/A,0,0,0,1,0,3,2,"Yes, Private",None,OWNED,0,1
1,51,HINDUISM,N/A,0,0,0,1,0,3,2,"Yes, Private",None,OWNED,0,0
1,52,HINDUISM,N/A,0,0,0,1,0,2,1,"Yes, Government",None,OWNED,0,0
1,53,HINDUISM,N/A,0,0,0,1,0,2,2,"Yes, Government",None,GIVEN BY GOVERNMENT,0,1
1,54,HINDUISM,N/A,0,0,0,1,0,2,4,"Yes, Private",None,GIVEN BY GOVERNMENT,0,1
1,55,HINDUISM,N/A,1,0,0,0,0,0,0,No,None,OWNED,0,0
1,56,HINDUISM,N/A,0,0,0,0,0,5,4,"Yes, Private",None,OWNED,0,0
1,57,HINDUISM,N/A,0,0,1,0,0,3,5,"Yes, Government",None,OWNED,1,0
1,58,HINDUISM,N/A,0,0,1,0,0,1,0,"Yes, Private",None,OWNED,0,0
1,59,HINDUISM,N/A,0,0,0,0,0,5,0,"Yes, Government",None,RENTED,0,1
1,60,HINDUISM,N/A,0,0,0,0,0,3,0,"Yes, Private",None,OWNED,1,0
1,61,HINDUISM,N/A,0,0,0,0,0,3,0,"Yes, Private",None,OWNED,0,0
1,62,HINDUISM,N/A,0,0,1,0,0,1,0,"Yes, Private",None,RENTED,1,0
1,63,HINDUISM,N/A,0,0,1,0,0,2,0,"Yes, Government",None,OWNED,0,1
1,64,HINDUISM,N/A,0,0,0,0,0,3,1,"Yes, Government",None,OWNED,0,0
1,65,HINDUISM,N/A,0,0,0,0,0,3,0,"Yes, Government",None,OWNED,0,0
1,66,HINDUISM,N/A,0,0,1,0,0,3,0,"Yes, Government",None,OWNED,0,0
1,67,HINDUISM,N/A,0,0,0,0,0,4,0,"Yes, Private",None,OWNED,0,0
1,68,HINDUISM,N/A,0,0,0,0,0,1,0,"Yes, Government",None,OWNED,0,0
1,69,HINDUISM,N/A,0,0,1,0,0,5,0,"Yes, Private",None,OWNED,0,0
1,70,HINDUISM,N/A,0,0,0,0,0,3,1,"Yes, Government",None,OWNED,0,0
1,71,HINDUISM,N/A,0,0,0,0,0,3,0,"Yes, Private",None,OWNED,0,0
1,72,HINDUISM,N/A,0,0,0,0,0,2,0,"Yes, Government",None,OWNED,0,0
1,73,HINDUISM,N/A,0,0,0,0,1,7,0,"Yes, Private",Owned,OWNED,0,0
1,74,HINDUISM,N/A,0,0,0,0,0,3,0,"Yes, Private",None,RENTED,0,0
1,75,HINDUISM,N/A,0,0,0,0,0,3,0,"Yes, Private",None,OWNED,0,0
1,76,HINDUISM,N/A,0,0,0,0,0,2,0,"Yes, Government",None,OWNED,0,0
1,77,HINDUISM,N/A,0,0,0,0,0,2,0,"Yes, Government",Owned,OWNED,0,0
1,78,HINDUISM,N/A,0,0,0,0,0,2,0,"Yes, Private",None,OWNED,1,0
1,79,HINDUISM,N/A,0,1,0,0,0,3,0,"Yes, Government",None,OWNED,1,0
1,80,HINDUISM,N/A,0,0,0,1,0,2,1,No,None,GIVEN BY GOVERNMENT,0,0
1,81,HINDUISM,N/A,0,0,0,0,0,2,0,"Yes, Private",None,OWNED,0,0
1,82,ISLAM,N/A,0,0,0,0,0,2,0,"Yes, Government",None,OWNED,0,0
1,83,HINDUISM,N/A,0,0,0,0,0,4,0,"Yes, Private",None,OWNED BUT SHARED,0,0
1,84,HINDUISM,N/A,0,0,0,0,0,3,0,"Yes, Private",None,OWNED BUT SHARED,0,0
1,85,HINDUISM,N/A,0,0,0,1,0,1,0,"Yes, Government",None,OWNED,0,0
1,86,HINDUISM,N/A,0,0,0,0,0,2,1,"Yes, Government",None,OWNED,0,0
1,87,HINDUISM,N/A,0,0,0,0,1,4,0,"Yes, Private",None,OWNED,0,0
1,88,HINDUISM,N/A,0,0,1,0,0,3,0,"Yes, Private",Owned,OWNED,1,1
1,89,HINDUISM,N/A,0,0,0,0,0,3,0,"Yes, Private",None,OWNED,0,0
